Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 16.67      0.01     0.01    21207     0.47     0.47  std::_Tuple_impl<3ul, std::_Placeholder<3> >::_M_head(std::_Tuple_impl<3ul, std::_Placeholder<3> >&)
 16.67      0.02     0.01    21019     0.48     0.48  std::__detail::_Hashtable_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, google::protobuf::MethodDescriptor const*>, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<true, false, true> >::_M_equals(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, google::protobuf::MethodDescriptor const*>, true>*) const
 16.67      0.03     0.01    20955     0.48     0.48  FriendService::GetFriendsList[abi:cxx11](unsigned int)
 16.67      0.04     0.01                             muduo::net::EPollPoller::poll(int, std::vector<muduo::net::Channel*, std::allocator<muduo::net::Channel*> >*)
  8.33      0.04     0.01    62990     0.08     0.08  unsigned char* google::protobuf::io::EpsCopyOutputStream::WriteBytes<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(unsigned int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned char*)
  8.33      0.05     0.01    21170     0.24     0.24  unsigned char* google::protobuf::internal::WireFormatLite::InternalWriteMessage<LS_RPC::ResultCode>(int, LS_RPC::ResultCode const&, unsigned char*, google::protobuf::io::EpsCopyOutputStream*)
  8.33      0.06     0.01    21008     0.24     0.24  LS_RPC::GetFriendsListRequest const* google::protobuf::internal::DownCast<LS_RPC::GetFriendsListRequest const*, google::protobuf::Message const>(google::protobuf::Message const*)
  8.33      0.06     0.01                             std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<LS_RPC::ResultCode*> >, std::is_move_constructible<LS_RPC::ResultCode*>, std::is_move_assignable<LS_RPC::ResultCode*> >::value, void>::type std::swap<LS_RPC::ResultCode*>(LS_RPC::ResultCode*&, LS_RPC::ResultCode*&)
  0.00      0.06     0.00   421519     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      0.06     0.00   379414     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__niter_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.06     0.00   379226     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::type&)
