Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
100.02      0.01     0.01    38128   262.32   262.32  google::protobuf::internal::ArenaStringPtr::Get[abi:cxx11]() const
  0.00      0.01     0.00    62362     0.00     0.00  google::protobuf::internal::InternalMetadata::have_unknown_fields() const
  0.00      0.01     0.00    38426     0.00     0.00  google::protobuf::internal::InternalMetadata::arena() const
  0.00      0.01     0.00    38379     0.00     0.00  google::protobuf::Arena* google::protobuf::internal::InternalMetadata::PtrValue<google::protobuf::Arena>() const
  0.00      0.01     0.00    38369     0.00     0.00  google::protobuf::MessageLite::GetArenaForAllocation() const
  0.00      0.01     0.00    38185     0.00     0.00  google::protobuf::internal::TaggedPtr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::as_int() const
  0.00      0.01     0.00    38183     0.00     0.00  google::protobuf::internal::TaggedPtr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::Get() const
  0.00      0.01     0.00    19387     0.00     0.00  __gthread_active_p()
  0.00      0.01     0.00    19259     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      0.01     0.00    19238     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      0.01     0.00    19225     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      0.01     0.00    19224     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      0.01     0.00    19157     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      0.01     0.00    19154     0.00     0.00  LS_RPC::GetFriendsListRequest::_internal_userid() const
  0.00      0.01     0.00    19150     0.00     0.00  google::protobuf::io::CodedOutputStream::WriteVarint32ToArray(unsigned int, unsigned char*)
  0.00      0.01     0.00    19150     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_addr()
  0.00      0.01     0.00    19149     0.00     0.00  google::protobuf::internal::ExplicitlyConstructed<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::get() const
