Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 50.01      0.01     0.01    15020     0.67     0.67  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_find_before_node(unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) const
 50.01      0.02     0.01     7521     1.33     2.66  testqps(int, std::atomic<int>&, std::atomic<int>&)
  0.00      0.02     0.00   113872     0.00     0.00  google::protobuf::internal::InternalMetadata::have_unknown_fields() const
  0.00      0.02     0.00    68394     0.00     0.00  google::protobuf::Arena* google::protobuf::internal::InternalMetadata::PtrValue<google::protobuf::Arena>() const
  0.00      0.02     0.00    68351     0.00     0.00  google::protobuf::internal::InternalMetadata::arena() const
  0.00      0.02     0.00    68296     0.00     0.00  google::protobuf::MessageLite::GetArenaForAllocation() const
  0.00      0.02     0.00    61348     0.00     0.00  __gthread_active_p()
  0.00      0.02     0.00    60220     0.00     0.00  google::protobuf::internal::TaggedPtr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::as_int() const
  0.00      0.02     0.00    60176     0.00     0.00  google::protobuf::internal::TaggedPtr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::Get() const
  0.00      0.02     0.00    60120     0.00     0.00  google::protobuf::internal::ArenaStringPtr::Get[abi:cxx11]() const
  0.00      0.02     0.00    45574     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      0.02     0.00    45567     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      0.02     0.00    45567     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      0.02     0.00    45499     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      0.02     0.00    30697     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.00      0.02     0.00    30657     0.00     0.00  std::mutex::unlock()
  0.00      0.02     0.00    30632     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  0.00      0.02     0.00    30625     0.00     0.00  std::mutex::lock()
  0.00      0.02     0.00    30327     0.00     0.00  google::protobuf::internal::ExplicitlyConstructed<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::get() const
  0.00      0.02     0.00    30280     0.00     0.00  google::protobuf::internal::GetEmptyStringAlreadyInited[abi:cxx11]()
  0.00      0.02     0.00    30150     0.00     0.00  google::protobuf::Bits::Log2FloorNonZero(unsigned int)
  0.00      0.02     0.00    30142     0.00     0.00  google::protobuf::io::CodedOutputStream::WriteVarint32ToArray(unsigned int, unsigned char*)
  0.00      0.02     0.00    30120     0.00     0.00  LS_RPC::GetFriendsListRequest::_internal_userid() const
  0.00      0.02     0.00    30120     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      0.02     0.00    30095     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_addr()
  0.00      0.02     0.00    30077     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_ptr()
  0.00      0.02     0.00    30068     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_valptr()
  0.00      0.02     0.00    30063     0.00     0.00  LS_RPC::RpcHeader::_internal_method_name[abi:cxx11]() const
  0.00      0.02     0.00    30054     0.00     0.00  LS_RPC::RpcHeader::_internal_args_size() const
  0.00      0.02     0.00    30048     0.00     0.00  LS_RPC::RpcHeader::_internal_service_name[abi:cxx11]() const
  0.00      0.02     0.00    30020     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, true>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, true>*)
  0.00      0.02     0.00    30001     0.00     0.00  std::__detail::_Node_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, false, true>::_Node_iterator(std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, true>*)
  0.00      0.02     0.00    22871     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.02     0.00    22817     0.00     0.00  google::protobuf::internal::InternalMetadata::~InternalMetadata()
  0.00      0.02     0.00    22816     0.00     0.00  google::protobuf::MessageLite::~MessageLite()
  0.00      0.02     0.00    22805     0.00     0.00  google::protobuf::Message::~Message()
  0.00      0.02     0.00    22763     0.00     0.00  void google::protobuf::internal::InternalMetadata::Delete<google::protobuf::UnknownFieldSet>()
  0.00      0.02     0.00    22718     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      0.02     0.00    22626     0.00     0.00  google::protobuf::internal::InternalMetadata::InternalMetadata(google::protobuf::Arena*, bool)
  0.00      0.02     0.00    22620     0.00     0.00  google::protobuf::MessageLite::MessageLite(google::protobuf::Arena*, bool)
  0.00      0.02     0.00    22616     0.00     0.00  google::protobuf::Message::Message(google::protobuf::Arena*, bool)
  0.00      0.02     0.00    22604     0.00     0.00  std::__atomic_base<int>::__atomic_base(int)
  0.00      0.02     0.00    22580     0.00     0.00  std::atomic<int>::atomic(int)
  0.00      0.02     0.00    22572     0.00     0.00  google::protobuf::internal::CachedSize::CachedSize()
  0.00      0.02     0.00    15377     0.00     0.00  std::unique_lock<std::mutex>::unlock()
  0.00      0.02     0.00    15371     0.00     0.00  std::unique_lock<std::mutex>::~unique_lock()
  0.00      0.02     0.00    15364     0.00     0.00  std::unique_lock<std::mutex>::lock()
  0.00      0.02     0.00    15362     0.00     0.00  std::mutex* std::__addressof<std::mutex>(std::mutex&)
  0.00      0.02     0.00    15321     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.02     0.00    15312     0.00     0.00  std::unique_lock<std::mutex>::unique_lock(std::mutex&)
  0.00      0.02     0.00    15262     0.00     0.00  google::protobuf::internal::TaggedPtr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::UnsafeGet() const
  0.00      0.02     0.00    15255     0.00     0.00  google::protobuf::internal::ArenaStringPtr::IsDefault(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*) const
  0.00      0.02     0.00    15249     0.00     0.00  google::protobuf::internal::ArenaStringPtr::DestroyNoArena(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*)
  0.00      0.02     0.00    15248     0.00     0.00  std::lock_guard<std::mutex>::lock_guard(std::mutex&)
  0.00      0.02     0.00    15240     0.00     0.00  std::lock_guard<std::mutex>::~lock_guard()
  0.00      0.02     0.00    15206     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.02     0.00    15090     0.00     0.00  google::protobuf::internal::TaggedPtr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::Set(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.02     0.00    15086     0.00     0.00  google::protobuf::internal::ArenaStringPtr::UnsafeSetDefault(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*)
  0.00      0.02     0.00    15070     0.00     0.00  google::protobuf::internal::WireFormatLite::UInt32SizePlusOne(unsigned int)
  0.00      0.02     0.00    15069     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const& std::__pair_get<0ul>::__get<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      0.02     0.00    15067     0.00     0.00  google::protobuf::io::EpsCopyOutputStream::WriteBytesMaybeAliased(unsigned int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned char*)
