Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 50.01      0.01     0.01    18841     0.53     0.53  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_find_before_node(unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) const
 50.01      0.02     0.01                             LS_RPC::FiendServiceRpc_Stub::FiendServiceRpc_Stub(google::protobuf::RpcChannel*, google::protobuf::Service::ChannelOwnership)
  0.00      0.02     0.00   123674     0.00     0.00  google::protobuf::internal::InternalMetadata::have_unknown_fields() const
  0.00      0.02     0.00    76208     0.00     0.00  google::protobuf::Arena* google::protobuf::internal::InternalMetadata::PtrValue<google::protobuf::Arena>() const
  0.00      0.02     0.00    76158     0.00     0.00  google::protobuf::internal::InternalMetadata::arena() const
  0.00      0.02     0.00    76081     0.00     0.00  google::protobuf::MessageLite::GetArenaForAllocation() const
  0.00      0.02     0.00    75619     0.00     0.00  google::protobuf::internal::TaggedPtr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::as_int() const
  0.00      0.02     0.00    75597     0.00     0.00  google::protobuf::internal::TaggedPtr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::Get() const
  0.00      0.02     0.00    75535     0.00     0.00  google::protobuf::internal::ArenaStringPtr::Get[abi:cxx11]() const
  0.00      0.02     0.00    38700     0.00     0.00  __gthread_active_p()
  0.00      0.02     0.00    38196     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      0.02     0.00    38050     0.00     0.00  google::protobuf::internal::ExplicitlyConstructed<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::get() const
  0.00      0.02     0.00    38032     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      0.02     0.00    38027     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      0.02     0.00    38024     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      0.02     0.00    38003     0.00     0.00  google::protobuf::internal::GetEmptyStringAlreadyInited[abi:cxx11]()
  0.00      0.02     0.00    37988     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      0.02     0.00    37913     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      0.02     0.00    37902     0.00     0.00  google::protobuf::io::CodedOutputStream::WriteVarint32ToArray(unsigned int, unsigned char*)
  0.00      0.02     0.00    37885     0.00     0.00  google::protobuf::Bits::Log2FloorNonZero(unsigned int)
  0.00      0.02     0.00    37836     0.00     0.00  LS_RPC::GetFriendsListRequest::_internal_userid() const
  0.00      0.02     0.00    37808     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_addr()
  0.00      0.02     0.00    37805     0.00     0.00  LS_RPC::RpcHeader::_internal_args_size() const
  0.00      0.02     0.00    37767     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_ptr()
  0.00      0.02     0.00    37766     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_valptr()
  0.00      0.02     0.00    37743     0.00     0.00  LS_RPC::RpcHeader::_internal_method_name[abi:cxx11]() const
  0.00      0.02     0.00    37735     0.00     0.00  LS_RPC::RpcHeader::_internal_service_name[abi:cxx11]() const
  0.00      0.02     0.00    37710     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, true>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, true>*)
